BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
12476 W JEFFERSON BLVD,435408814448,399.1,COMPLIED,168.3,168.3,Not Available,No,Not Available,Not Available,Invesco Real Estate US,71610.0,Not Available,Not Available,1.0,100.0,Not Available,90094,2017,Movie Theater,74.1,228.4,3739.3,74.1,228.4,2015,053,"100,000+ sqft"
4000 NICOLET AVE,455366827672,,NOT COMPLIED,,,,,,,,,,,,,,90008,2018,,,,,,,,004,"20,000 to 49,999 sqft"
639 S NEW HAMPSHIRE AVE,472886845352,,NOT COMPLIED,,,,,,,,,,,,,,90005,2018,,,,,,,,023,"20,000 to 49,999 sqft"
917 S NEW HAMPSHIRE AVE,472866842646,,NOT COMPLIED,,,,,,,,,,,,,,90006,2017,,,,,,,,BRK,"50,000 to 99,999 sqft"
5025 COLDWATER CANYON AVE,436385881653,23.2,COMPLIED,-73.5,-73.5,100.0,No,Not Available,Not Available,Woodman Sylvan Properties,24223.0,Not Available,Not Available,1.0,100.0,Not Available,91423,2018,Multifamily Housing,17.1,23.1,992.0,17.6,23.7,1970,013,"20,000 to 49,999 sqft"
631 S OLIVE ST,484363839802,382.9,COMPLIED,-40.1,-40.1,88.0,No,09/05/2017,2017,Olive Hill Group,99845.0,Not Available,Not Available,1.0,95.0,Not Available,90014,2016,Office,50.6,158.8,11027.7,50.4,158.2,1985,032,"100,000+ sqft"
7646 SEPULVEDA BLVD,420976898986,39.3,COMPLIED,-40.6,-40.6,Not Available,No,Not Available,Not Available,G&G Properties,27150.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2018,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",20.6,57.6,366.5,20.6,57.6,1976,009,"20,000 to 49,999 sqft"
3421 W 6TH ST,471936845703,,NOT COMPLIED,,,,,,,,,,,,,,90020,2018,,,,,,,,001,"50,000 to 99,999 sqft"
5753 RODEO RD,449107830557,,NOT COMPLIED,,,,,,,,,,,,,,90016,2018,,,,,,,,060,"20,000 to 49,999 sqft"
7720 AIRPORT BUSINESS PKWY,412134899613,,NOT COMPLIED,,,,,,,,,,,,,,91406,2018,,,,,,,,093,"20,000 to 49,999 sqft"
9861 N RESEDA BLVD,399536913698,49.9,COMPLIED,-32.8,-32.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,15566.0,Not Available,Not Available,1.0,100.0,Not Available,91324,2016,Fire Station,49.8,103.8,166.7,50.8,102.3,1980,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
950 E 10TH ST,486603834467,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,048,"20,000 to 49,999 sqft"
6930 TUJUNGA AVE,447208894168,,NOT COMPLIED,,,,,,,,,,,,,,91605,2018,,,,,,,,026,"20,000 to 49,999 sqft"
9045 S LINCOLN RD,435146806668,2.4,COMPLIED,-99.8,-99.8,Not Available,No,Not Available,Not Available,GBWorks,213687.0,Not Available,Not Available,1.0,0.0,Not Available,90045,2018,College/University,0.2,0.4,Not Available,0.2,0.4,1980,005,"100,000+ sqft"
15433 VENTURA BLVD,419598879032,635.9,COMPLIED,-2.2,-2.2,52.0,No,Not Available,Not Available,WH Hotel LLC,129500.0,Not Available,Not Available,1.0,100.0,Not Available,91403,2016,Hotel,64.8,203.3,6106.0,64.1,201.3,1968,019,"100,000+ sqft"
9012 N BALBOA BLVD,410116908049,,NOT COMPLIED,,,,,,,,,,,,,,91325,2018,,,,,,,,010,"50,000 to 99,999 sqft"
6113 8TH AVE,462605816706,,NOT COMPLIED,,,,,,,,,,,,,,90043,2018,,,,,,,,043,"20,000 to 49,999 sqft"
14436 VALERIO ST,426240897155,9.2,COMPLIED,-94.0,-94.0,Not Available,No,Not Available,Not Available,LA Apartments,34045.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2018,Multifamily Housing,4.7,7.1,27.1,Not Available,Not Available,1962,033,"20,000 to 49,999 sqft"
1888 CENTURY PARK EAST,436432845021,3165.1,COMPLIED,-29.6,-29.6,75.0,No,06/13/2018,"2018, 2017, 2016, 2015, 2014",CommonWealth Partners,516405.0,3717.1,7.2,1.0,90.0,Not Available,90067,2018,Office,103.1,169.1,3717.1,99.5,166.0,1969,007,"100,000+ sqft"
1331 AMHERST AVE,420438837754,,NOT COMPLIED,,,,,,,,,,,,,,90025,2018,,,,,,,,042,"50,000 to 99,999 sqft"
9000 AIRPORT BLVD,444996805746,3650.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",784680.0,Not Available,Not Available,1.0,100.0,Not Available,90045,2018,Manufacturing/Industrial Plant,72.4,157.4,14087.6,Not Available,Not Available,1981,016,"100,000+ sqft"
504 S HARBOR BLVD,477034728086,94.0,COMPLIED,16.6,16.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,20117.0,Not Available,Not Available,1.0,100.0,Not Available,90731,2017,Fire Station,65.2,179.9,Not Available,65.2,179.9,1990,BRK,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
565 GAYLEY AVE,425399847644,,NOT COMPLIED,,,,,,,,,,,,,,90024,2018,,,,,,,,904,"20,000 to 49,999 sqft"
4561 COLORADO BLVD,478781874941,161.7,COMPLIED,-27.7,-27.7,Not Available,No,Not Available,Not Available,NOAH PROPERTIES LLC,170000.0,Not Available,Not Available,2.0,95.0,Not Available,90039,2016,Self-Storage Facility,11.0,34.4,422.9,11.1,34.9,1964,026,"100,000+ sqft"
1900 W 62ND ST,467014816418,,NOT COMPLIED,,,,,,,,,,,,,,90047,2018,,,,,,,,009,"50,000 to 99,999 sqft"
222 S FIGUEROA ST,484869842548,1700.5,COMPLIED,57.1,57.1,2.0,No,Not Available,Not Available,AUM,381269.0,Not Available,Not Available,2.0,95.0,Not Available,90012,2016,Multifamily Housing,59.6,181.8,20717.3,59.6,181.8,1968,013,"100,000+ sqft"
17720 W SUPERIOR ST,112217100599,141.5,COMPLIED,-50.1,-50.1,100.0,Yes,Not Available,Not Available,IMT Residential,134077.0,Not Available,Not Available,1.0,100.0,Not Available,91325,2018,Multifamily Housing,15.4,40.3,4735.9,15.4,40.4,2009,145,"100,000+ sqft"
319 S NEW HAMPSHIRE AVE,472880847430,86.7,COMPLIED,-2.9,-2.9,54.0,No,Not Available,Not Available,Unknown,30898.0,Not Available,Not Available,1.0,100.0,Not Available,90020,2018,Multifamily Housing,46.8,81.4,1640.3,46.7,81.3,1968,017,"20,000 to 49,999 sqft"
812 S WESTLAKE AVE,477832842105,0.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,CORONADO SIXTH LLC,23040.0,Not Available,Not Available,1.0,100.0,Not Available,90057,2018,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1927,003,"20,000 to 49,999 sqft"
6250 W HOLLYWOOD BLVD,463041859298,2421.2,COMPLIED,86.5,86.5,3.0,No,Not Available,Not Available,Host Hotels and Resorts,291271.0,16361.0,56.17,1.0,100.0,Not Available,90028,2017,Hotel,116.8,316.6,16361.0,116.3,312.7,2016,BRK,"100,000+ sqft"
9201 OAKDALE AVE,390047909307,206.8,COMPLIED,-32.9,-32.9,81.0,Yes,01/10/2014,2013,PM Realty Group (Santa Ana),45659.0,3984.1,87.26,1.0,100.0,Not Available,91311,2017,Office,60.3,185.4,3984.1,60.3,185.4,1995,084,"50,000 to 99,999 sqft"
1737 WHITLEY AVE,460668859937,206.7,COMPLIED,56.6,56.6,3.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",56118.0,Not Available,Not Available,1.0,100.0,Not Available,90028,2018,Multifamily Housing,58.7,118.9,3555.6,Not Available,Not Available,1927,035,"50,000 to 99,999 sqft"
1697 PACIFIC AVE,418515818031,,NOT COMPLIED,,,,,,,,,,,,,,90291,2018,,,,,,,,020,"50,000 to 99,999 sqft"
704 S SPRING ST,485252838553,237.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Emser International LLC,61946.0,Not Available,Not Available,1.0,95.0,Not Available,90014,2017,Manufacturing/Industrial Plant,50.6,158.8,2071.4,49.5,155.4,1925,044,"50,000 to 99,999 sqft"
14210 S VERMONT AVE,473374787100,,NOT COMPLIED,,,,,,,,,,,,,,90247,2018,,,,,,,,020,"20,000 to 49,999 sqft"
