BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
17819 MERRIDY ST,403904914860,130.2,COMPLIED,-38.8,-38.8,96.0,No,Not Available,Not Available,The Korda Group/RPK Development,97547.0,Not Available,Not Available,1.0,95.0,Not Available,91325,2017,Multifamily Housing,18.9,53.1,5020.2,18.9,53.1,1985,009,"50,000 to 99,999 sqft"
7654 LAUREL CANYON BLVD,441919899013,107.3,COMPLIED,-43.4,-43.4,99.0,No,Not Available,Not Available,Laurel Tower Apartment Complex llc,63821.0,Not Available,Not Available,1.0,95.0,Not Available,91605,2017,Multifamily Housing,24.9,59.3,6224.5,25.8,60.2,1985,038,"50,000 to 99,999 sqft"
7771 W FOOTHILL BLVD,470655916534,39.1,COMPLIED,3.0,3.0,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,10500.0,Not Available,Not Available,1.0,100.0,Not Available,91042,2017,Library,52.8,148.0,93.2,Not Available,Not Available,1995,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
22048 SHERMAN WAY,377827895980,,NOT COMPLIED,,,,,,,,,,,,,,91303,2017,,,,,,,,048,"50,000 to 99,999 sqft"
1919 ARGYLE AVE,463105861126,251.4,COMPLIED,48.7,48.7,5.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",68230.0,Not Available,Not Available,1.0,100.0,Not Available,90068,2018,Multifamily Housing,58.7,118.9,4323.1,Not Available,Not Available,1928,001,"50,000 to 99,999 sqft"
5363 WILSHIRE BLVD,456871845301,107.5,COMPLIED,-15.0,-15.0,73.0,No,Not Available,Not Available,"Conservice, LLC",48388.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2018,Multifamily Housing,36.2,68.0,1372.9,36.4,68.1,2005,027,"20,000 to 49,999 sqft"
10740 WILSHIRE BLVD,429217844548,775.0,COMPLIED,-11.3,-11.3,64.0,No,Not Available,Not Available,HVS,150962.0,8073.5,53.48,1.0,60.0,Not Available,90024,2017,Hotel,77.7,174.4,8073.5,76.3,170.3,1972,023,"100,000+ sqft"
1317 SHATTO ST,480890842494,,NOT COMPLIED,,,,,,,,,,,,,,90017,2017,,,,,,,,020,"100,000+ sqft"
12950 PIERCE ST,436253919176,116.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"A&M Pierce Property, LLC",71000.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2017,Manufacturing/Industrial Plant,21.6,67.8,450.3,21.9,68.7,1989,014,"50,000 to 99,999 sqft"
1050 WILSHIRE BLVD,481871841344,275.6,COMPLIED,-25.2,-25.2,86.0,No,Not Available,Not Available,equity residential,201000.0,Not Available,Not Available,1.0,95.0,Not Available,90017,2016,Multifamily Housing,18.1,56.8,4819.0,18.1,56.8,2008,016,"100,000+ sqft"
3360 E PICO BLVD,498890828747,,NOT COMPLIED,,,,,,,,,,,,,,90023,2018,,,,,,,,005,"20,000 to 49,999 sqft"
3216 MINES AVE,498197829160,4.7,COMPLIED,-83.1,-83.1,Not Available,No,Not Available,Not Available,940 ALAMEDA LLC,12400.0,Not Available,Not Available,1.0,100.0,Not Available,90023,2018,Other,5.4,15.1,23.9,5.4,15.1,1943,036,"20,000 to 49,999 sqft"
727 W 7TH ST,483480840182,1105.6,COMPLIED,35.2,35.2,8.0,No,Not Available,Not Available,The Roosevelt Lofts,423801.0,Not Available,Not Available,1.0,100.0,Not Available,90017,2016,Multifamily Housing,37.0,98.1,10547.5,37.0,98.2,1926,BRK,"100,000+ sqft"
8487 W 3RD ST,447867849414,,NOT COMPLIED,,,,,,,,,,,,,,90048,2017,,,,,,,,021,"50,000 to 99,999 sqft"
3000 W 6TH ST,474589845604,16.1,COMPLIED,-82.9,-82.9,100.0,No,Not Available,Not Available,Kiturami USA,34112.0,891.8,26.14,1.0,100.0,Not Available,90020,2018,Mixed Use Property,13.5,25.5,891.8,13.2,25.1,1957,001,"20,000 to 49,999 sqft"
111 S GAFFEY ST,472712728970,,NOT COMPLIED,,,,,,,,,,,,,,90731,2018,,,,,,,,040,"20,000 to 49,999 sqft"
249 S LA FAYETTE PARK PL,476657847365,133.0,COMPLIED,-41.2,-41.2,99.0,No,Not Available,Not Available,"Conservice, LLC",98324.0,Not Available,Not Available,1.0,95.0,Not Available,90057,2017,Multifamily Housing,17.8,56.0,5.9,17.8,56.0,1969,025,"100,000+ sqft"
12411 MAGNOLIA BLVD,439577882691,,NOT COMPLIED,,,,,,,,,,,,,,91607,2018,,,,,,,,020,"50,000 to 99,999 sqft"
831 E 61ST ST,482771816921,26.8,COMPLIED,-7.8,-7.8,55.0,No,Not Available,Not Available,Pearson Management,29169.0,Not Available,Not Available,1.0,100.0,Not Available,90001,2018,Non-Refrigerated Warehouse,13.0,36.5,59.1,Not Available,Not Available,1978,020,"20,000 to 49,999 sqft"
4550 W SUNSET BLVD,474244858121,1027.6,COMPLIED,204.1,204.1,Not Available,No,Not Available,Not Available,Children's Hospital Los Angeles,115419.0,Not Available,Not Available,1.0,100.0,Not Available,90027,2018,Office,126.4,353.9,7936.1,126.4,353.9,1989,030,"100,000+ sqft"
3500 W ADAMS BLVD,463900834194,,NOT COMPLIED,,,,,,,,,,,,,,90018,2018,,,,,,,,021,"20,000 to 49,999 sqft"
1541 WILSHIRE BLVD,480037842658,,NOT COMPLIED,,,,,,,,,,,,,,90017,2017,,,,,,,,025,"50,000 to 99,999 sqft"
420 N EVERGREEN AVE,501298838472,,NOT COMPLIED,,,,,,,,,,,,,,90033,2017,,,,,,,,049,"50,000 to 99,999 sqft"
11021 W MCCORMICK ST,449530883175,370.8,COMPLIED,-31.3,-31.3,95.0,No,Not Available,Not Available,AUM,148782.0,Not Available,Not Available,1.0,95.0,Not Available,91601,2018,Multifamily Housing,40.4,77.3,5258.1,40.9,77.7,2010,016,"100,000+ sqft"
740 VALENCIA ST,479895841387,,NOT COMPLIED,,,,,,,,,,,,,,90017,2018,,,,,,,,019,"20,000 to 49,999 sqft"
515 N BEACON ST,T00000000273,,NOT COMPLIED,,,,,,,,,,,,,,90731,2018,,,,,,,,900,"20,000 to 49,999 sqft"
1415 N CAHUENGA BLVD,461828857622,,NOT COMPLIED,,,,,,,,,,,,,,90028,2018,,,,,,,,053,"20,000 to 49,999 sqft"
303 E 5TH ST,487415838881,,NOT COMPLIED,,,,,,,,,,,,,,90013,2017,,,,,,,,021,"100,000+ sqft"
4650 SUNSET BLVD,473563857933,9089.6,COMPLIED,-18.6,-18.6,83.0,No,Not Available,Not Available,Children's Hospital Los Angeles,756397.0,Not Available,Not Available,1.0,100.0,Not Available,90027,2017,Hospital (General Medical & Surgical),164.9,473.0,58579.9,165.1,473.2,1967,030,"100,000+ sqft"
14340 CHANDLER BLVD,426821883861,,NOT COMPLIED,,,,,,,,,,,,,,91401,2018,,,,,,,,023,"20,000 to 49,999 sqft"
5900 RESEDA BLVD,399635887542,,NOT COMPLIED,,,,,,,,,,,,,,91356,2018,,,,,,,,157,"20,000 to 49,999 sqft"
1400 N EDGEMONT ST,472080857752,122.9,COMPLIED,56.6,56.6,3.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",33360.0,Not Available,Not Available,1.0,100.0,Not Available,90027,2018,Multifamily Housing,58.7,118.9,2113.7,Not Available,Not Available,1988,020,"20,000 to 49,999 sqft"
17950 BURBANK BLVD,403205885398,,NOT COMPLIED,,,,,,,,,,,,,,91316,2018,,,,,,,,025,"20,000 to 49,999 sqft"
5020 COLDWATER CANYON AVE,436615881558,23.0,COMPLIED,-75.4,-75.4,100.0,Yes,Not Available,Not Available,M&M Investments,29580.0,Not Available,Not Available,1.0,95.0,Not Available,91423,2018,Multifamily Housing,13.6,19.9,708.3,14.0,20.3,1963,040,"20,000 to 49,999 sqft"
545 S FRIES AVE,481277736942,,NOT COMPLIED,,,,,,,,,,,,,,90744,2017,,,,,,,,911,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
6331 HOLLYWOOD BLVD,462366859664,840.3,COMPLIED,-10.3,-10.3,59.0,No,Not Available,Not Available,Church of Scientology International,120000.0,5733.4,47.78,1.0,100.0,Not Available,90028,2016,Office,94.2,282.9,5733.4,Not Available,Not Available,1924,011,"100,000+ sqft"
16003 SHERMAN WAY,416020896097,,NOT COMPLIED,,,,,,,,,,,,,,91406,2018,,,,,,,,033,"20,000 to 49,999 sqft"
13730 ROSCOE BLVD,431153903124,514.2,COMPLIED,-14.2,-14.2,60.0,No,Not Available,Not Available,Kaiser Foundation Hospitals,116961.0,4263.0,36.45,1.0,100.0,Not Available,91402,2018,Medical Office,66.1,158.8,4263.0,67.1,159.9,1969,015,"100,000+ sqft"
12400 BRANFORD ST,T00000000417,791.6,COMPLIED,6.2,6.2,45.0,No,Not Available,Not Available,Fedex Ground,232500.0,Not Available,Not Available,1.0,100.0,Not Available,91352,2016,Distribution Center,39.2,123.2,797.8,39.2,123.2,2012,006,"100,000+ sqft"
2500 W 6TH ST,476823844894,39.6,COMPLIED,-38.1,-38.1,Not Available,No,Not Available,Not Available,Public Storage,55564.0,51.0,0.92,1.0,100.0,Not Available,90057,2017,Self-Storage Facility,9.4,29.5,51.0,9.4,29.5,2010,001,"50,000 to 99,999 sqft"
3700 NICOLET AVE,455696829544,,NOT COMPLIED,,,,,,,,,,,,,,90016,2018,,,,,,,,002,"20,000 to 49,999 sqft"
11376 VENTURA BLVD,447119873405,5.0,COMPLIED,-91.6,-91.6,Not Available,No,Not Available,Not Available,CA-Pacific Corp.,26692.0,Not Available,Not Available,1.0,85.0,1271.7,91604,2018,Mixed Use Property,2.7,7.5,1271.7,Not Available,Not Available,1986,022,"20,000 to 49,999 sqft"
9224 RESEDA BLVD,399753909449,,NOT COMPLIED,,,,,,,,,,,,,,91324,2018,,,,,,,,004,"20,000 to 49,999 sqft"
1311 W 5TH ST,482319842688,174.0,COMPLIED,-13.3,-13.3,70.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",82491.0,Not Available,Not Available,1.0,100.0,Not Available,90017,2018,Multifamily Housing,34.2,65.5,2521.7,34.4,65.7,2007,034,"50,000 to 99,999 sqft"
12300 MONTAGUE ST,440963915101,,NOT COMPLIED,,,,,,,,,,,,,,91331,2018,,,,,,,,044,"50,000 to 99,999 sqft"
6301 S NORMANDIE AVE,470552815887,,NOT COMPLIED,,,,,,,,,,,,,,90044,2017,,,,,,,,044,"50,000 to 99,999 sqft"
5300 LANKERSHIM BLVD,448080883589,1013.3,COMPLIED,133.1,133.1,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",60930.0,Not Available,Not Available,1.0,100.0,Not Available,91601,2017,Strip Mall,265.7,533.3,10898.4,264.1,523.5,1980,114,"50,000 to 99,999 sqft"
16254 LINDBERGH ST,414175900708,0.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,6 angels llc,30360.0,Not Available,Not Available,1.0,100.0,Not Available,91406,2018,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1943,026,"50,000 to 99,999 sqft"
9825 WOODLEY AVE,414815913494,133.8,COMPLIED,-3.1,-3.1,53.0,No,Not Available,Not Available,Hillcrest Christian School,60000.0,Not Available,Not Available,6.0,100.0,Not Available,91343,2018,K-12 School,32.6,84.7,1446.5,31.8,82.1,1963,004,"50,000 to 99,999 sqft"
8820 BELLANCA AVE,446583806850,,NOT COMPLIED,,,,,,,,,,,,,,90045,2018,,,,,,,,009,"20,000 to 49,999 sqft"
3650 N VERDUGO RD,490977864681,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10900.0,Not Available,Not Available,1.0,100.0,Not Available,90065,2017,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1981,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
6220 W 3RD ST,453782848132,300.9,COMPLIED,-15.2,-15.2,78.0,No,Not Available,Not Available,"Conservice, LLC",110745.0,Not Available,Not Available,4.0,90.0,Not Available,90036,2018,Multifamily Housing,45.1,79.7,3479.5,45.2,79.8,2002,018,"100,000+ sqft"
4215 S GLENCOE AVE,427632818282,,NOT COMPLIED,,,,,,,,,,,,,,90292,2017,,,,,,,,BRK,"100,000+ sqft"
5089 W SAN FERNANDO RD,479492875004,703.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Takeda,30450.0,1439.3,Not Available,1.0,20.0,Not Available,90039,2018,Self-Storage Facility,Not Available,Not Available,1439.3,Not Available,Not Available,1980,013,"50,000 to 99,999 sqft"
10100 AVIATION BLVD,446969802324,,NOT COMPLIED,,,,,,,,,,,,,,90045,2018,,,,,,,,013,"20,000 to 49,999 sqft"
920 E PACIFIC COAST HWY,485177746048,,NOT COMPLIED,,,,,,,,,,,,,,90744,2016,,,,,,,,002,"100,000+ sqft"
5303 CRANER AVE,449966883382,17.4,COMPLIED,-75.2,-75.2,Not Available,No,Not Available,Not Available,"Caster Properties, Inc.",58380.0,Not Available,Not Available,1.0,90.0,Not Available,91601,2018,Self-Storage Facility,4.2,11.9,105.9,4.2,11.9,2003,031,"50,000 to 99,999 sqft"
134 W 12TH ST,482662836445,,NOT COMPLIED,,,,,,,,,,,,,,90015,2018,,,,,,,,028,"100,000+ sqft"
8944 MASON AVE,386607907896,2.4,COMPLIED,-97.9,-97.9,100.0,No,Not Available,Not Available,ELI B. DUBROW TRUSTEE,21420.0,Not Available,Not Available,1.0,100.0,Not Available,91311,2018,Office,1.6,4.5,74805.2,Not Available,Not Available,1969,039,"20,000 to 49,999 sqft"
7900 NELSON RD,428042901212,205.0,COMPLIED,-43.4,-43.4,81.0,No,Not Available,Not Available,Rexford Industrial,202905.0,1095.0,5.4,1.0,100.0,Not Available,91402,2017,Non-Refrigerated Warehouse,13.3,41.8,1125.0,12.9,40.6,1998,036,"100,000+ sqft"
1411 W 190TH ST,469479771290,774.3,COMPLIED,-44.4,-44.4,91.0,No,09/22/2016,"2016, 2015, 2014, 2013, 2012, 2009, 2008, 2007, 2006, 2005",Toyota Motor Sales USA Inc,173854.0,Not Available,Not Available,1.0,100.0,Not Available,90248,2016,Office,54.5,154.0,2760.4,Not Available,Not Available,1986,019,"100,000+ sqft"
3345 CASITAS AVE,484776865516,,NOT COMPLIED,,,,,,,,,,,,,,90039,2018,,,,,,,,012,"50,000 to 99,999 sqft"
8930 W QUARTZ AVE,391087907678,19.9,COMPLIED,-11.7,-11.7,57.0,No,Not Available,Not Available,Pearson Management,20250.0,Not Available,Not Available,1.0,100.0,Not Available,91324,2018,Non-Refrigerated Warehouse,14.2,37.7,40.4,Not Available,Not Available,1978,016,"20,000 to 49,999 sqft"
8435 BEVERLY BLVD,448234850380,,NOT COMPLIED,,,,,,,,,,,,,,90048,2018,,,,,,,,025,"20,000 to 49,999 sqft"
732 S BURLINGTON AVE,478812842060,332.6,COMPLIED,64.2,64.2,2.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",83946.0,Not Available,Not Available,2.0,100.0,Not Available,90057,2017,Multifamily Housing,61.4,129.1,10182.4,60.1,127.7,1996,047,"100,000+ sqft"
6041 W IMPERIAL HWY,443247798062,114.0,COMPLIED,-88.3,-88.3,Not Available,No,Not Available,Not Available,Los Angeles World Airports,346323.0,Not Available,Not Available,1.0,95.0,Not Available,90045,2018,Other,5.3,10.4,604.6,5.7,10.8,1954,900,"100,000+ sqft (CITY OWNED BUILDINGS)"
9174 DEERING AVE,381656909375,73.3,COMPLIED,-1.2,-1.2,50.0,No,Not Available,Not Available,Schneider Electric ESS,21809.0,Not Available,Not Available,1.0,95.0,Not Available,91311,2018,Office,47.7,133.6,366.0,46.6,130.4,2000,033,"20,000 to 49,999 sqft"
2555 E OLYMPIC BLVD,493765832374,714.0,NOT COMPLIED,-76.2,-76.2,98.0,No,Not Available,Not Available,STAR OLYMPIC REAL ESTATE,1500000.0,1669.0,1.11,1.0,100.0,Not Available,90023,2017,Non-Refrigerated Warehouse,6.3,19.7,1669.0,6.3,19.7,1972,BRK,"100,000+ sqft"
2901 S SEPULVEDA BLVD,431361833244,179.9,COMPLIED,-77.5,-77.5,Not Available,No,Not Available,Not Available,Vesa Commercial,159159.0,Not Available,Not Available,1.0,100.0,Not Available,90064,2017,Multifamily Housing,20.3,26.6,6280.1,21.1,27.5,1973,017,"100,000+ sqft"
13751 SHERMAN WAY,T00000000396,82.0,NOT COMPLIED,-74.3,-74.3,100.0,No,Not Available,Not Available,"WegoWise, Inc.",88477.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2018,Multifamily Housing,17.7,23.6,3219.8,18.2,24.1,2010,019,"50,000 to 99,999 sqft"
11820 W SAN VINCENTE BLVD,419694841890,36.5,COMPLIED,-2.8,-2.8,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,10400.0,Not Available,Not Available,1.0,100.0,Not Available,90049,2018,Library,49.8,139.6,67.1,Not Available,Not Available,1994,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
9841 AIRPORT BLVD,444426803008,983.6,COMPLIED,-13.4,-13.4,60.0,No,Not Available,Not Available,"ROX TRG Airport Blvd, LLC",260629.0,Not Available,Not Available,1.0,65.0,Not Available,90045,2018,Office,57.1,135.0,3061.7,54.0,121.5,1972,042,"100,000+ sqft"
17171 ROSCOE BLVD,408428903392,620.8,COMPLIED,-12.1,-12.1,70.0,No,Not Available,Not Available,AUM,200984.0,Not Available,Not Available,8.0,95.0,Not Available,91325,2016,Multifamily Housing,48.7,97.3,9949.8,50.2,98.8,1975,102,"100,000+ sqft"
4677 WORTH ST,506830845221,24.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Anodizing Industries, Inc.",35000.0,Not Available,Not Available,1.0,100.0,Not Available,90063,2018,Manufacturing/Industrial Plant,9.9,27.7,Not Available,9.9,27.7,1967,016,"20,000 to 49,999 sqft"
6725 W SUNSET BLVD,459563858310,336.6,COMPLIED,-4.7,-4.7,53.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",73835.0,Not Available,Not Available,1.0,100.0,Not Available,90028,2017,Office,70.4,156.7,1483.4,70.4,156.7,1963,044,"50,000 to 99,999 sqft"
10853 ROSE AVE,435244831835,160.3,COMPLIED,-23.3,-23.3,90.0,No,Not Available,Not Available,AUM,69610.0,Not Available,Not Available,1.0,95.0,Not Available,90034,2017,Multifamily Housing,36.6,71.4,3508.4,37.5,72.3,1972,035,"50,000 to 99,999 sqft"
558 S BROADWAY,485453839470,,NOT COMPLIED,,,,,,,,,,,,,,90013,2018,,,,,,,,011,"20,000 to 49,999 sqft"
2100 S WESTERN AVE,467133722137,0.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Little Sisters of the Poor of Los Angeles,154787.0,Not Available,Not Available,5.0,80.0,Not Available,90732,2016,Residential Care Facility,Not Available,Not Available,Not Available,Not Available,Not Available,1962,015,"100,000+ sqft"
11600 INDIAN HILLS RD,423521924948,296.7,COMPLIED,-12.8,-12.8,59.0,No,Not Available,Not Available,GVMOB,64963.0,Not Available,Not Available,1.0,100.0,Not Available,91345,2018,Medical Office,64.8,181.5,1512.1,62.4,174.8,1988,028,"50,000 to 99,999 sqft"
421 S BERENDO ST,472519846840,175.5,COMPLIED,56.6,56.6,3.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",47633.0,Not Available,Not Available,1.0,100.0,Not Available,90020,2018,Multifamily Housing,58.7,118.9,3018.0,Not Available,Not Available,1990,024,"20,000 to 49,999 sqft"
7717 VENTURA CANYON AVE,431982899274,7.5,COMPLIED,-89.9,-89.9,100.0,No,Not Available,Not Available,LA Apartments,34423.0,Not Available,Not Available,1.0,100.0,Not Available,91402,2018,Multifamily Housing,3.1,8.6,2359.4,3.0,8.5,1973,028,"20,000 to 49,999 sqft"
6505 WILSHIRE BLVD,449577845960,707.2,COMPLIED,-25.5,-25.5,76.0,No,Not Available,Not Available,Jewish Federation Council of Greater Los Angeles,136947.0,1689.5,12.34,1.0,100.0,52.4,90048,2017,Office,75.4,185.9,1741.9,Not Available,Not Available,1951,025,"100,000+ sqft"
275 W CENTURY WAY,438922802214,4889.5,COMPLIED,6705.6,6705.6,Not Available,No,Not Available,Not Available,Los Angeles World Airports,15990.0,Not Available,Not Available,1.0,50.0,Not Available,90045,2018,Other - Utility,5749.9,6075.5,220.1,6693.5,7066.3,1982,902,"15,000 to 19,999 sqft (CITY OWNED BUILDING)"
6060 CENTER DR,443145813884,948.0,COMPLIED,-36.0,-36.0,86.0,No,Not Available,Not Available,"BRE HH Property Owner, LLC",268785.0,3115.1,11.59,1.0,85.0,Not Available,90045,2017,Office,46.5,146.0,3115.1,45.6,143.3,2000,080,"100,000+ sqft"
688 S BERENDO ST,15794,217.5,COMPLIED,-43.5,-43.5,Not Available,No,Not Available,Not Available,equity residential,105455.0,Not Available,Not Available,1.0,95.0,Not Available,90005,2018,Multifamily Housing,32.8,66.7,3079.0,32.9,66.8,2014,040,"50,000 to 99,999 sqft"
8938 MASON AVE,386656907748,,NOT COMPLIED,,,,,,,,,,,,,,91311,2018,,,,,,,,038,"20,000 to 49,999 sqft"
10801 ROSE AVE,435535832059,,NOT COMPLIED,,,,,,,,,,,,,,90034,2018,,,,,,,,032,"20,000 to 49,999 sqft"
11501 HART ST,445894894556,,NOT COMPLIED,,,,,,,,,,,,,,91605,2017,,,,,,,,003,"50,000 to 99,999 sqft"
11270 W OLYMPIC BLVD,428199836548,862.8,COMPLIED,39.6,39.6,Not Available,No,Not Available,Not Available,Madison Marquette,94125.0,Not Available,Not Available,1.0,100.0,Not Available,90064,2016,Strip Mall,105.6,331.7,6003.9,105.6,331.7,1996,020,"100,000+ sqft"
3831 HUGHES AVE,440948830765,,NOT COMPLIED,,,,,,,,,,,,,,90034,2017,,,,,,,,024,"100,000+ sqft"
545 S CENTRAL AVE,488915837106,531.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Divine Pasta Co,29411.0,Not Available,Not Available,1.0,100.0,Not Available,90013,2017,Manufacturing/Industrial Plant,245.3,720.9,2970.9,247.0,722.7,1981,042,"50,000 to 99,999 sqft"
13291 RALSTON AVE,418531936691,376.3,COMPLIED,30.9,30.9,Not Available,No,Not Available,Not Available,spears manufacturing,128000.0,Not Available,Not Available,1.0,100.0,Not Available,91342,2018,Distribution Center,41.7,116.9,1353.1,41.7,116.9,1978,023,"100,000+ sqft"
22111 CALVERT ST,377456889078,,NOT COMPLIED,,,,,,,,,,,,,,91367,2018,,,,,,,,034,"50,000 to 99,999 sqft"
12793 MERCER ST,437098923293,99.0,COMPLIED,-38.6,-38.6,97.0,No,Not Available,Not Available,TELACU Residential Management,55326.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2017,Multifamily Housing,26.5,63.0,3244.3,26.5,63.0,1998,030,"50,000 to 99,999 sqft"
1200 ELECTRIC AVE,419622819705,,NOT COMPLIED,,,,,,,,,,,,,,90291,2018,,,,,,,,030,"20,000 to 49,999 sqft"
8800 S HOOVER AT,474797806950,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10720.0,Not Available,Not Available,1.0,100.0,Not Available,90044,2018,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1977,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
3667 MCCLINTOCK AVE,473545830147,88.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,University of Southern California,548534.0,1388.5,2.53,1.0,100.0,Not Available,90089,2016,Parking,2.1,6.6,1388.5,2.1,6.6,1976,034,"100,000+ sqft"
20100 S VERMONT AVE,473810767137,114.6,COMPLIED,-35.2,-35.2,Not Available,No,Not Available,Not Available,ENI-JR286,132965.0,661.2,4.97,1.0,100.0,Not Available,90502,2017,Distribution Center,12.2,34.3,661.2,12.2,34.3,2000,031,"100,000+ sqft"
1304 WEST SECOND ST,482987844573,626.0,COMPLIED,-20.6,-20.6,82.0,No,Not Available,Not Available,AUM,238930.0,Not Available,Not Available,1.0,95.0,Not Available,90026,2017,Multifamily Housing,39.3,90.4,8476.9,39.8,91.0,2008,BRK,"100,000+ sqft"
1848 VETERAN AVE,428776840097,102.9,COMPLIED,114.3,114.3,1.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",22113.0,Not Available,Not Available,1.0,100.0,Not Available,90025,2018,Multifamily Housing,72.4,157.4,397.0,Not Available,Not Available,1987,130,"20,000 to 49,999 sqft"
4801 W WASHINGTON BLVD,457539837121,,NOT COMPLIED,,,,,,,,,,,,,,90016,2018,,,,,,,,019,"20,000 to 49,999 sqft"
3355 WILSHIRE BLVD,471728845075,222.8,COMPLIED,-53.6,-53.6,Not Available,No,Not Available,Not Available,The Gaylord LLC,155325.0,486.6,3.13,1.0,100.0,Not Available,90010,2017,Multifamily Housing,18.9,59.4,486.6,18.7,58.6,1924,022,"100,000+ sqft"
19780 PACIFIC GATEWAY DR,472246768530,90.5,COMPLIED,-27.0,-27.0,68.0,No,Not Available,Not Available,"Westport Realty, Inc.",113916.0,Not Available,Not Available,1.0,100.0,Not Available,90502,2018,Non-Refrigerated Warehouse,11.3,31.6,896.9,11.3,31.6,1979,069,"100,000+ sqft"
8300 SAN FERNANDO RD,449392903353,385.5,COMPLIED,2.1,2.1,48.0,No,Not Available,Not Available,IMS,138500.0,508.4,3.67,1.0,100.0,429.9,91352,2017,Non-Refrigerated Warehouse,36.7,115.3,938.4,36.7,115.3,2002,019,"100,000+ sqft"
11833 DARLINGTON AVE,420226841220,,NOT COMPLIED,,,,,,,,,,,,,,90049,2018,,,,,,,,035,"20,000 to 49,999 sqft"
6245 KESTER AVE,423096889619,68.9,COMPLIED,-58.3,-58.3,100.0,No,Not Available,Not Available,Landmark,37478.0,Not Available,Not Available,1.0,95.0,Not Available,91411,2018,Multifamily Housing,30.8,52.9,2327.2,30.8,52.9,1964,025,"20,000 to 49,999 sqft"
1874 N HILLHURST AVE,474778860805,53.9,COMPLIED,42.9,42.9,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,10449.0,Not Available,Not Available,1.0,100.0,Not Available,90027,2017,Library,73.3,205.2,416.9,Not Available,Not Available,1999,001,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
20904 GRESHAM ST,383662906468,113.6,NOT COMPLIED,-18.8,-18.8,78.0,No,Not Available,Not Available,MWest Residential,41460.0,Not Available,Not Available,1.0,100.0,Not Available,91304,2018,Multifamily Housing,46.5,75.8,2201.0,48.1,77.4,2010,057,"20,000 to 49,999 sqft"
